,text,label
1176," all smiles. im fairly hapy with what has happened yesterday, even though some other had to put a damper  on things *cough*",1
1305, I am not awake yet and I don't get to workout until this afternoon because I have to go to the Nashville airport.,0
1310,"- I can almost hear my wallet saying &quot;I'm here, I'm here!&quot;... but I can't find her!  ",0
1396, bout to leave NY bak to CT--damn I been comin out here err day this week! Lol smh jus makin quik stops handlin bizzz,0
1405, brug says swine flu reached manila. Now the I don't have a reason for the JB to come here as refuge from h1n1!!! (,0
1569," I have finally seen Clerks, from beginning to end and no TV swear-word editing (poor Jay! xD). I feel somehow fulfilled.",1
1625,- Clumsy 'ol me left an awful scratch scar on my nose while attempting to adjust the googles and freestyling at the same time. ,0
1638, cracker night! Dinner at tgi Fridays and the cinema  it's gonna be good to awake up without a hangover 2mrw tattoo 2mrw?!,1
1704," i may have diabites i cant spell it but yeah , fuck !! ttoally scared now , my body if fucked , soo fuckign annoying !!",0
1735," done with benjamin button, what a beautiful movie. Sleeping, dreaming of my wife. Hopefully go over her house early tomorrow&lt;3",1
1794, didn't realize this was happing. sighed and it went all over. so much angst that i sigh blood. http://tinyurl.com/kt2fm4,0
1871, Empty Nest...literally @ my fiancee's.  I hope they're still around. They were SO CUTE &amp; I miss them!,0
1928,- FRIDAY! i've caught a cold. How rubbish is that? At least i've got the whole weekend to spend in bed. ,1
2036," getting rid of the z28 camaro. Its a said day. If anyone wants it, come get it. Its also on ebay",0
2042,"- go &amp; try the yummo &amp; super hot 'plecing kangkung' + ayam bakar taliwang.. **sexy food from exotic country,Indonesia ",1
2084, I'm so ill after getting wet in the rain for three days..... xD but I don't  regret..it was awesome x3,0
2106,#NAME?,1
2164, GUESS WHAT!!?? JONAS CD 'LVATT' comes out This Friday here in Australia... That's The Day I leave for my trip ,0
2198, in new jerz....I'm so emotionally split...lmfao...I'm odeeeee hype ....aaaaoooowwwww. but I want my beezo and Mis Nina!!!!,0
2208, iPhone activation server not available. gonna give it a few... my friend had the problem then it started working... argh...,0
2289," havent twittered in so long, ive been busy doing much of everything, 4am sleep time note to self twitter moree!!!!",0
2409, hit by someone running a red light...my cars totalled...but thank God i just have a headache &amp; nothing more.,0
2453," just been taken into a pet shop with @staceynoir tarantulas and mini crocodiles, ah quite scared. But i want a bearded dragon.",0
2540, I can't get to sleep... I'm also doing some serious thinking... LK should do an album... #littlekuribohYGOASsoundtrackalbum anyone? =],0
2654, I hate my job! I want to fly a plane soon! :  I hate my job! I want to fly a plane soon!  http://tinyurl.com/mm9wod,0
2690, life sucks. but it would suck a lot more if i didn't have the beautiful check yes gingerette to keep me company.,0
2730," I have a sick @posty today. He has a headache, cough, sore throat.  He is curled up on the couch.",0
2745, I just bought the 50 pack and so far only 4 out of 10 have worked out. These DVDs http://www.amazon.com/dp/B0007TJ58M,0
2772, i just found out 2 of my gold fish died....  i named them Gerard and Mikey ....ok tomorrow i am getting new fish,0
2779," I just ruined 4th Twilight book for my mom, YES, MY MOM! If I do nothing else today, I will feel fulfilled!",1
2959, I miss u mum  So much. I wish u were here because u r the one I would be talking about Andrew right now   ,0
3132, I think I have the handwriting of a little kid. Probably because I type so much and write so little. http://twitpic.com/7ijsv,0
3211, iÃ‚Â´m soo sad .. i want somebody to love me to be a real gentalmen not like my last boyfriend iÃ‚Â´mm soo sadd ... (L),0
3287, I wish there wasn't any bad in this world....  I don't know how much more I can take before I break.,0
3328, preordered new iPhone and saw it just went out today from Apple and not getting here until the 22nd... which mens the 23rd - Bummer!,0
3352, IM SO FUCKING RAD! *points at last tweet* only missed 3 TT's  which happen to be: #e3 #clothdiapers and JBARSODMG HAHA DONE!,1
3402,- sad that i'm not going pub quiz boozing again this week.  will have to settle for a bottle of ale and a movie,0
3444, it makes me sad when I can't think of anything interesting to tell my grandpa. I must be so boring to him.,0
3504, i'd rather have you and my girlfriend at my crib runnin round naked  girl gotta girlfriend on in bed.. Nice work @MamsTaylor,1
3788, just hadda tell a pt they were in early stages of kidney failure and headed for dialysis... sometimes this is harder than others...,0
3831," Just found out the school blocks out some websites, host on Twitpic (Y) http://twitpic.com/6geey @ reply and tweet back the link.",0
3914," left my new scarf in Gail's car. Really sick of the rain, June on the seacoast is supposed to be beautiful.",0
4003, Miley's climb song just came on n the kid next to me singing it alound!  And her granny started singing it toooo!  Help help!,0
4201," You know what these random followers are like, they leave you if you don't drop everything and follow them back instantly. Meh!",0
4267," No seniors today. Depressing.   I was supposed to bake cookies, but then we had no cookie dough,so... Bah.",0
4345," Off work, praying I get excepted in the LU distance learning program! And hopefully I can get done SOON! I'll keep you updated!",1
4351,"#1 most popular news story headline on Yahoo = Happiness Is ... Being Old, Male and Republican..........lol, this cracks me up ",1
4394,#621621621 times happy Nadal is out. I' ve found a new appreciation for the swedes. ;) but I want my Djokovic back ,0
4415, one of the best friends I've ever had doesn't want a party before she's shipped off to bfe aka long beach.,0
4459,#andyclemmensen i really really want to watch &quot;alice in wonderland&quot; &amp;&amp; &quot;the flinstones&quot; the real people ones ,1
4486, PRAYER REQUEST: wife's grandfather - married 75 yrs. - dead at 95. Didn't have chance to rcvd Last Rights #tcot #catholic ,0
4520, RIP Cotter. But seriously. Gayest death scene ever. He and Connor practically made out. There was face-touching and shit.,0
4547,"#Beijing Good massage for you &amp; Sexy girl &amp; 100% real photo  13341015518 - w4 (Beijing): Hi, .. http://tinyurl.com/qusd3s",1
4592, seriously annoyed.. People thinkin its hilarious that someone would want to try and do extra work to make up for our hours being cut ,0
4627,"#breakfast one egg, two slices of whole wheat bread, tomatoes &amp; lethes from the garden &amp; freash squeezed orange juise ",1
4668,#DDLL was awesome but I felt really out of my league so I got terribly self-concious and didnt talk to many people ,0
4699, so tired and sick  off to work I go. Might have to work the weekend TOO. yay 12 days in a row.,0
4738, Stella has gone to the Vets. She ran into a barbed wire fence- again. &amp; tore open her leg- again. Silly!,0
4742, still upset abt not winning the new moon tickets i really wanted to go to italy !!    my sis (@lauraxavier) and i really wanted to go,0
4812,-- that my head doesn't think so. *chuckle*  G'Night!  *waves* ... *to no one at all*  huh.  sad.  just sad.  *chuckle*  ,1
4821," the 50 dollar gas fill ups have ended. To cheer me up, I'm blasting Miranda! and dancing funny. #driving.",0
4834, the kings of leon used to be so good. this song was not made to sound good played live. thanks for selling out,0
4860,#dontyouhateitwhen you get paper to print pictures on to iron on to a shirt but your MS Word won't invert the picture? ,0
4915,#fakejowhiley i tried to beat you chris at signing up to twitter... but i failed because i spelt jos name wrong!  #fakejowhiley,0
4952, today is the day and i enough know if i should be happy they getting pulled or sad im going to be in pain,0
4958, Today's shooting postponed after Art Basel! Hope the Los Angeles Gallery gives me some more time to finish this new project &quot;Connected&quot;!,0
4967, TOY STORY 3 TRAILER...you just made my heart sink and make me feel like that 6 year old kid again  http://tinyurl.com/ox433z,1
5006," want to be in lovely London right now, not sitting here trying to revise and find out where the sudetenland is!!   schoool 2moro :'(",0
5045, What happened to that link on the side bar that says everybody?How am I going to look at what random people just tweeted now?,0
5135," You still just don't see. Oh well. Someday you will. Someday, I'll make you see. &lt;3",0
5165,"!@ChrisLicht ...sooo, any hope for a match up with Liz Cheney and Mikas Daddy? thx!! Ratings Gold I'm sure!!  @joeNBC @MSNBC",1
5196,#13 is an unlucky number... I'm restarting my mac for iTunes on the #13th day and #uptime count got reset ,0
5244,"#abhl all this talk of SPN and Musicals makes me so desperately want one, but I can't imagine JP going for it ",1
5252,#Alfresco problem: what is the max length of &quot;d:text&quot;? I have data for a property  that exceeds 5K characters  ,0
5266,"#ff @extraordmommy @tammyburnell @john_stiles  these people are supportive and kind, All my ff are people I have talked to, they are nice ",1
5287,#firstrecord First single i bought was Spice Girls 2 become 1 !! First album i think was Now 35; but with own money was Hanson ,1
5291,#flylady *goes to* reboot laundry and do 15 min of flat surface clearing in kitchen *next up* 15 min in front of computer. ,1
5298,"#flylady kids snacks packed 4 tomorrow, having bed time snack, finishing watching The Pagemaster, dd's last day of Kindergarten tomorrow ",0
5354,#followfriday @gabbler - hes a funny 1 @kirstieallie - so funny @drakeshipway - apps &amp; stuff @CMoz - technology stuff &amp; laughs  my 1st FF,1
5369,#FollowFriday @KristineRusch is a genius writer. Her books &amp; Tweets are fantastic reads. She's wonderous! You'll LOVE her. ,1
5389,#followfriday @PermanentTrails WHOA...bunnies didn't look like that when I was a youngin'...lol. Thanks for your share tonight. ,1
5408,"#FollowFriday ~ EVERYONE. I don't want to miss ANYONE...I Ã¢â„¢Â¥ you ALL!!! So, take THAT personally please!!! ",1
5415,"#followfriday gal that is very Tweet &amp; lots of fun. Check out @passionsista &amp; follow her, she's just gr8! ",1
5484, Love you guys! I'm going to work in a few. Know why I'm so happy? Cause I get to sleep tonight!,1
5508," meditating on emptyness - it's free, legal, you can do it anywhere and it takes away the veils that hide instant enduring happiness !!!",1
5522,"- Missing my girls in Northern Cal, but enjoying being with my sons in Southern Cal. Magic Mountain here we come!!!  http://bit.ly/giN8R",1
5540, my arm nearest the window is about to freeze off! but the rest of me is warm... such a horrible feeling. #jonaskevin,0
5628, My story has its own Twilighted thread (thanks @carenl!) and I can't even see it.  Never changing my e-mail address again.,0
5647, Next year! Let's host a kick ass All-Star weekend and then win it all! I'm so proud of you guys. MFFL,0
5665,"#Football Maradona during his visit to #Kolkata, #India. Wanted desperately to see him, but couldn't  http://is.gd/12egv",0
5682,"#gigreport just did my first ever MC slot, compereing  Gerry Howell, Wendy Wason and more in Belsize park. Went quite well ",1
5685,"#gmail is down, and still down. With a HUGE presentation this morning this is why you DONT use beta applications for work ",0
5708,"#goodsex IS WHAT MAJOR PAYNE SAID, &quot;like putting 2 Qtips in my ears and twistin' em' around real fast&quot;!!! ",1
5754,"#Haveyouever kissed a band member? I want to still, but just on the cheek, and it'd be Gerard Way. ",1
5808,#barbie display gone @hudsonsbay  Now the long wait for Barbie 50th by David Dixon line-  third floor HBC Queen St. in the fall.,0
5815,"#Beijing Good massage for you &amp; Sexy girl &amp; 100% real photo  13341015518 - w4 (Beijing): Hi, .. http://tinyurl.com/c48m6r",1
5816,"#Beijing Good massage for you &amp; Sexy girl &amp; 100% real photo  13341015518 - w4 (Beijing): Hi, .. http://tinyurl.com/c67a7d",1
5836,#BGT should little Holly perform in tomorrow night's final? Poor little mite looked terrified. So brave and fantastic voice but scared ,0
5861," Now Chuck is not talking to me and drinking.  Tonight is not going to be a shiny night.  Thank you, John.",0
5883, ok...seriously... this is the most depressing movie ever. I wanna  just give these people a hug. this is HORRIBLE.,0
5929,#haveyouever wanted someone so bad and never told them how you felt until it was too late then it hurts your heart really bad ,0
5936,"#hcn09 customer council revolution may be lead by the progressives - Henry Ford, Mayo, Duke &amp; ... @ePatientDave 's of the world ",1
5979, pff... ill give it a try at war... but i will just get my ass kicked. lol.GL logging in :S,0
5998, promise not cried YET no promises tho !!! i wish everyone the best  &lt;&lt; that btw wasnt a final good bye xx,0
6009,"#chesterday i thought everyday was chesterday,  oh no wait, thats just in my head. lol well it should b everyday ",1
6144,"#iphone #OS3 upgrade not so seamless...iTunes upgrade first,slow &amp; cumbersome initially followed by SIM errors and crashing iTunes ",0
6153,#ipl Out. Damn Jayawardene You Suck Big Time. U dont know how to play Cricket. U got Yuvraj Out. ,0
6196,#NAME?,0
6258,#dontyouhate when the guy you feel like you are meant to be with slips through your fingers  I'll miss you &lt;3,0
6259,#dontyouhate when ur tryin to nap w this headache n the club car outside is pumping OMEGA? Yep I live in wash hts ,0
6319,#drupal fighting with panels and menus! Can't add a new tab to the &quot;My account&quot; page with has an argument. ,0
6338,"#EU09 In 5 years we need a best coverage. World, take a look here, yes, here, Europe is moving ",1
6362,#iremember the HUGE smile my dad had on his face when he held his baby girl for the first time.  i love him,1
6423,#iremember when rolling down a hill and getting covered in grass stains was the best fun ever  I suppose it still could be ...,1
6473,#Fibromyalgia  HEY MEN! I am very interested in how you are coping with fibro. Please direct message me to we can compare notes ,1
6474,"#fifa is giving away tickets to confederations cup in an effort to fill seats http://tr.im/oNN8 unfortunately, not giving them to me ",0
6524, thanks jimmy fallon for reminding me it's father's day this weekend. i don't want to work. screw you roger.,0
6535,#kies09 Congrats Yorkshire and Humber. Your region is now represented by a fascist in the E.P. BNP gets 1 of the 6 seats! ,0
6548,"#lr - well i have gone and purchased it!!: hi all   done it at last, bought myself a refurbished ROVACOM .. http://tinyurl.com/n27gbp",1
6553,#Mac restarted  was not sleeping after upgrading #xcode or probably messing with airport config for #iPhone #tethering  any idea why?,0
6578,#flylady this beautiful weather is making me completely LAZY lol.....ds2 napping making lunch for ds10 &amp; I need to start something ,1
6603,#motogp Watching MotoGP Quali on the BBC - Eurosport have the idiot Carlton Kirby &quot;commentating&quot; again. Where are Toby and Julian? ,0
6642,#followfriday @crbill for reminding me it's cathartic to rip a new one for Rogers Cable being such obfuscating nickel licking toad farts. ,1
6656,"#followfriday @Jason_Pollock (sry, Jason!), @twitanthropy, @earlyword, @denmarked, @storyofstuff, @vph, @IPPNW, &amp; http://bit.ly/asI-today ",1
6728,"#followfriday @ramartijr Follow him, especially if your #interior design. Lovely, friendly, helpful, good heart and makes me laugh ",1
6741,"#FollowFriday @timpratt is a gifted writer whose humour &amp; wit are a joy to read. Follow him, you'll love him ",1
6750,"#FollowFriday A last and special FF mention for @mattblum whose work is both beautiful and inspirational, so much to aspire to and admire ",1
6774,#mw2 Im looking forward to E3! Mainly because 402 said that IW will be releasing a SHITLOAD of info for MW2 at E3 ,1
6998,#podcampaz planning meeting starts in 25 at UAT. @izzyvideo is on his way but I'm home with the kids/cleaning house.  ,0
7003,"#primaverasound Report:Liars Liars and Deerhunter on at the same time  I'll move to Deerhunter soon, but Liars start off well.",0
7020,#readathon Have blogged and cheered. Off to bed with the Hobbit. Expect accidental sleeping to occur. See you all tomorrow. ,1
7051,"#haveyouever loved and lost somebody? wish there was a chance to say i'm sorry..  oh, i miss you terribly.",0
7064,#haveyouever tried mixing in peanut butter into chocolate milk?... Don't. Don't you ever do such a horrible thing. ,0
7068,"#haveyouever wondered where your money ACTUALLY goes to when you give it to charity? Not I, for I am a greedy motherfucker ",1
7093,"#Sfgiants game v. Marlins delayed ... Looks like it will be a 3:40 start ... Meanwhile, Life of Brian's an abomination ",0
7095,#shared &quot;Let workers text and Twitter&quot; - http://bit.ly/11oa8 ~people who text and twitter are far more willing to work vampire hours ,1
7136,#idfollow selena gomez before celine dion xD alright I think I'm done for the night. that's all folks! lol g'night babies ,1
7178,"#squarespace It's the weekend, that means I have a higher chance of winning! But my luck hates me, so probably not ",0
7181,#squarespace Please give me a free iPhone. I'm desparate &amp; sick of tweet on my enV-1 phone  http://ow.ly/eCw8,0
7204,"#inaperfectworld dr's would understand chronic pain &amp; tolerance to pain medications &amp; treat pain ADEQUATELY! Yeah, I'm dreaming... ",0
7205,"#inaperfectworld Everybody wouldn't be sych mean freaks, and people would think a little more. No, wait, A LOT MORE!!! ",0
7252,"#TFARP -cycle. Been a rather long solar cycle for everybody, I think. :p G'night Bots, Cons, and assorted others! ",1
7268,#inaperfectworld ppl on twitter will have ppl follow me kuz i need more followers   and the tweet public is wut needs to help me,0
7309,"#Trendio Shit, I didn't buy Mark Webber cos I thought he would not rise.... And thus, went up 30% ",0
7329,#iranelection and i notice they announce that they hurt everybody that protest after that  here is Tehran 8:04pm and still they are there,0
7364,#twithelp from @ashbadash: : i'm homeee that was tres fun. maybe gonna watch a movie? any suggestions?  http://tinyurl.com/d85s7q,1
7370,"#TWTRCON  advice u need a strategy and a target audience, be funny - don't twtr 2 much (oops - breaking that rule 2day  ) ^GW",1
7395,"#web20 -- a good metaphor in democratic process: Truth is better served, not by transparency --  but by the opaqueness of private 'Vote' ",1
7398,#iremember my first kiss  crazy how it was only 4 years ago... I was the shyest guy n the world b4 that lmao,1
7402,"#iremember playin Uno, LIFE, 7 other board games by myself because no one else wanted to play w/ me ; fckin losers LOL ",1
7422,#iremember when i was young and it was so uncomplicated... no bills... no boyfriends... it was all lego and grilled cheese ,1
7445,#whyareyoustillhere One Tree Hill!!! [[ They cancelled my shows The Game &amp; Everybody Hates Chris n dont NOBODY WATCH U N-E-MORE!!!  ]],0
7472,#itsc09 The Bris evening event tomorrow night sounds like the place to be! Not to mention the workshops. Pitty I'm in Adel ,0
7482,#java is pissing me off again. I'm also still amazed at how incredibly rude and condescending people are on java forums. ,0
7511,$ perf record pahole ../build/perf/vmlinux &gt; /dev/null Lets try using the perf tools on something other than the perf tools ,1
7587,"&amp; btw, Chunhee's leaving Family Outing?!?! NOOOOOOOOO!!! I'm sad Yejin is leaving, too, but CHUNDERELLA CANNOT LEAVE!!!   ",0
7657,"#musicmonday -&gt; McFly all the way   Already listened to One For The Radio 20 times today, probably annoying the neighbours by now!",1
7660,"#musicmonday &quot;Stars of the Lid&quot; Radiolab - is all you need to google. Not a lot happens, it's very relaxing ",1
7692,#musicmonday listening to the cruxshawdows &amp; vnv nation. saw Cruxshadows live before &amp; will be seeing vnv nation live in July ,1
7714,"#MusicMonday...This one's gotta be it, because I plan on spending the day by the pool  ? http://blip.fm/~6iww7",1
7766,#myweakness getting distracted at Twitter when I do have plenty to do right now!  So... I'll go. #Goodnight all.,1
7877,#Oracle agrees to buy #Sun. Guess #MySQL will loose some advocates. See a rise in #PostgreSQL  http://tr.im/jdO5,1
7894,#PlaySpyMaster has been blocked on my work computer because &quot;The Websense category &quot;Games&quot; is filtered&quot;. No me gusta. ,0
7957,"#smile @OwlRanger Not too terribly much more than usual. Working on the new game, playing the slightly less new one.  @TLGame",1
8005,&gt;@suchagoodgirl: @HartHanson Do you have anything special planned for the 100th episode?&amp; will we be lucky enough to get a xmas episide? ,1
8170,#vegas #SpyOnVegas #SugarRay #HardRock #locals oh &amp; entry starts at 6 for FREE drinks w concert usually around 9 ,1
8276,#whyitweet because i love to make myself full of self importance.....not really i've got nothing else to do with my day ,1
8300,"&quot;Abduct Yourself for the Abducted&quot; Be apart of the cause..make a difference, give children a future to look forward to ",1
8324," This year it won't have arena football games. Nooo! Shit! But, everybody knows that this year Philadelphia Soul would be champions again!",0
8377,#WT20 - India vs South Africa begins in some time. Is it even worth a watch now?  so very sad for Indian cricket ,0
8384,#yorly? @Kimberley__ (Kimberley):@madamecupcake: oh man your the 2nd person to say that to me now .. lol http://bit.ly/xwmQH,0
8426,#Zend_Lucene_Search .... Why can't I search  numbers with you I want to know who's #2 in all these topics  #zend,0
8446,$20 to park at the tweeter center. Holy crap!!! Missed most of Cheap Trick  Poison is up next. Then Def Leppard.,0
8512,"&amp;&amp; now it's gone cold  On the PLUS side, only 2 and a bit months left to go before SPRING!",0
8513,&amp;&amp; when i see you the butterflies returnn..&lt;3     Midland Rockedd!!  Cant Wait For My Party This Summer ! [ GROUNDED  ],0
8543," ugh this week can't get worse after being packed in my suitcase my ipod display broke some how! :,-( I hate when things break!",0
8607, was just offered a VERY good deal! Maybe my career path will take a different turn? I guess we'll see won't we!,1
8647," when i close my eyes, i see the bejeweled grid &amp;my jewels being quickly aligned so that the announcer says GOOD JOB!",0
8754,&quot;eternal sunshine&quot;. myhrr. portos. open window. livingston sangria. texting w/ @nitadarling. this is my friday night... ,1
8762,&quot;Everyone has a photographic memory. Some don't have film.&quot; - This is me! LOL  (via @Joey_Smith) | I don't have a battery!!,1
8763,&quot;Everyone has one special thing.&quot;  This guy sets the record  for the longest pronunciation of the word &quot;Fresh&quot;    http://bit.ly/3mD9fV,1
8814,!!#%!#%!^ I just dropped my metal measuring spoons into rotating garbage disposal.Wah. My fave set of ms poons! ,0
8830,!listening to Tech7 by Abfahrt Hinwil from Links Berge Rechts Seen with my 6 week old daughter. She likes it. Thanks #last.fm ,1
8882,#21 - thebackdoor: only the ones that want to get all wrinkly and have cancerÃ¯Â¿Â½  this tumblr is full of... http://tumblr.com/x1z1mds8m,1
8931,"&lt;font color=purple&gt; Purple, &lt;font color=blue&gt; blue &lt;font color=black&gt; and &lt;font color=green&gt; green ",1
9019,&quot;Ã¢â‚¬Å“TOM LOOKS LIKE A HARD ASS AND BECKETT LOOKS LIKE HE HAS BOOBS&quot; - - Meghan.  (via inevermenttobrag) I HATE... http://tumblr.com/xiq21q7vj,1
9062,&quot;all we can do is keep breathing..&quot; invadÃƒÂ­ tu privacidad.. perdÃƒÂ³n.. en serio.. i'm so sorry.. ,0
9089,#Aion peeps. Next Twitter milestone is 1500 followers. I'll think of something else than posters to give-away for then. ,1
9155,&quot;how do you like them apples&quot; is from the movie Rio Bravo. Good Will Hunting make a lot more sense now. ,1
9162,&quot;How's it going?&quot; a rhetorical question often asked without sincerity. Sincerely answering in great detail is quite an amusing response. ,1
9163,"&quot;i am a vampire, i am a vampire...but i have lost my fangs!!&quot;  haha, just love Juno ",1
9203,"#Beijing Good massage for you &amp; Sexy girl &amp; 100% real photo  13341015518 - w4 (Beijing): Hi, .. http://tinyurl.com/ogmvfo",1
9204,"#Beijing Good massage for you &amp; Sexy girl &amp; 100% real photo  13341015518 - w4 (Beijing): Hi, .. http://tinyurl.com/pwjf7e",1
9255,&quot;I guess We're gonna have to take control&quot; truer words never said. Thank you Bobby Brown via Ghostbusters 2 soundtrack ,1
9284,#CANADA NEWS: Retirees protest at Molson Brewery in St. John's after announced cuts to pension plan covered free beer. http://tr.im/nBuJ ,0
9301,"#chuck #chuckmemondays I didn't realize how short one episode is. Had a great time anyway! Thanks, see you next week ",1
9362,"&quot;But pickle jars are just pickle jars And pickles are just pickles Ingredients : water, salt, cucumber, garlic and pickling spices&quot; ",1
9381,"&quot;I want action tonight, satisfation all night...&quot; Hopefully Noelle grows a dick so that we can bang tonight... uhhhg ",0
9390,&quot;I won't forget you Brazil&quot; @ddlovato you're amazing! We won't forget you too! Can't wait to see you again ,1
9419,#dontyouhate when goolish lookin females double take @ you???...that shit is madd scary son...like they wanna kidnap u or somethin ,0
9435,#dreams Had discussion about unitarians with a libertarian while sitting in a gigantic anthill. He loved jesus too much to be civil.  ,0
9461,&quot;I'm tired of getting my heart broken&quot; -the saddest words my dad ever said    going to bed thinking about a lot...,0
9629,#FF Lets really help and old friend of KIIS - Valentine just sent us a tweet let's all follow him @Go4Valentine tell him hi ,1
9631,#ff me because i hit a limit. i will follow back as soon as i can. thanks. must love weirdos. ,0
9765,&quot;Good Morning&quot; by @johnlegend should be everyone's standard wake up ringtone. I always wake up w a smile on my face ,1
9781,&quot;mackin....hangin&quot;....play that game 4 life if u want to....me?...im big business....remember that..... ,1
9898,&quot;My stomach hurts sooooo bad    now I have to follow some stupid diet to get better. Ughhh&quot;  -  I'm just like Demi !,0
9908,"&quot;Nothing stays the same, but change.&quot;  Van Halen (insightful rock...I knew there was a reason I like them so much ",1
9940,#followfriday Follow @digiprod if you love when Tweeters who aren't afraid to speak their opinion also great content without all the BS. ,1
9960,&quot;Our sweetest songs are those that tell of the saddest thought&quot; To A Skylark- Percy Bysshe Shelley. Reminds me of Taylor Swift ,1
10011,&quot;i know if i stay itll just cause more pain but i cant let u go&quot; @Veronicabal ... oh so true ,0
10019,"&quot;I may not have gone where I intended to go, but I think I have ended up where I needed to be.&quot; ",1
10030,&quot;i vawnt to clean yer vindows surr&quot; &quot;I dont want my FUCKING windows cleaned!&quot; PMSL! i love des ,1
10055,&quot;Sin is the ruin and misery of the soul...&quot; Writing a paper on Jonathan Edwards... It's almost 4am ,0
10171,&quot;Mandatory&quot; meeting in a couple of hours...I'll be in the back with my hat down low and my shades on... ,1
10194,&quot;No distance of place or lapse of time can lessen the friendship of those who are thoroughly persuaded of each other's worth.&quot; ,1
10229,&quot;The age of a woman doesn't mean a thing. The best tunes are played on the oldest fiddles.&quot;  Ralph Waldo Emerson,1
10230,"&quot;the author of the previous update was the cool, awesome, good-looking, hilarious @brandonjschmidt&quot;...someone sounds full of himself ",1
10236,#followfriday to you all  thanks for your interrest on Terminator the Sarah Connor Chronicles. I don't give up! The Resistance: Join us!,1
10306,&quot;The Company&quot; and &quot;City Romance&quot;'s new chapters have both been submitted to literotica and eroticarepublic. Should be posted soon ,1
10358,"&quot;Peter Pan &amp; Wendy turned out fine, so won't you fly with me?&quot; -Fly with me by Jonas Brothers. ",1
10362,"&quot;Plastic Loveless Letter&quot; just came on my iPod. Thanks, shuffle function, for reminding me how much I like Magic Dirt ",1
10395,"#haveyouever been alone at night, thought you heard footsteps behind and no one's there?? Fear of the Dark by Iron Maiden ",1
10495,"&quot;there's so many fish in the sea.&quot; yeah. but the problem is, he's the only one for me. ",0
10498,"&quot;They say I look yummy &amp; they want a taste, but I'm a human not a sandwich.&quot; LMFAO makes me ",1
